nct_id,historical_first_results_label_version,first_results_attempt_version,first_results_posted_version,pre_episode_posted_version,results_episode_id,first_results_date,first_results_date_source,first_results_history_version_date,first_results_attempt_pcd,first_results_attempt_pcd_type,first_results_pcd,first_results_pcd_type,pre_first_results_pcd,pre_first_results_pcd_type,current_pcd,current_pcd_type,history_versions,posted_history_versions,review_not_passed_versions,pair_id,group
NCT04003246,19,19,21,18,NCT04003246:v19-v21,2024-12-20,resultsFirstSubmitDate,2024-12-20,2022-06-15,ACTUAL,2022-06-15,ACTUAL,2025-08,ESTIMATED,2022-06-15,ACTUAL,22,20,2,116,fda_proxy
NCT03205761,10,10,10,9,NCT03205761:v10-v10,2023-10-26,resultsFirstSubmitDate,2024-04-30,2022-12-15,ACTUAL,2022-12-15,ACTUAL,2022-12-15,ACTUAL,2022-12-15,ACTUAL,13,13,0,116,nonfda_control
NCT03027388,170,170,173,169,NCT03027388:v170-v173,2023-08-11,resultsFirstSubmitDate,2023-08-11,2022-08-15,ACTUAL,2022-08-15,ACTUAL,2022-08-15,ACTUAL,2022-08-15,ACTUAL,174,171,3,117,fda_proxy
NCT02875132,10,10,10,9,NCT02875132:v10-v10,2025-03-04,resultsFirstSubmitDate,2025-04-16,2022-02-28,ACTUAL,2022-02-28,ACTUAL,2022-02-28,ACTUAL,2022-02-28,ACTUAL,11,11,0,117,nonfda_control
NCT02099864,14,14,14,13,NCT02099864:v14-v14,2020-10-01,resultsFirstSubmitDate,2020-12-18,2019-10-01,ACTUAL,2019-10-01,ACTUAL,2019-10-01,ACTUAL,2019-10-01,ACTUAL,22,22,0,118,fda_proxy
NCT03025880,7,7,7,6,NCT03025880:v7-v7,2022-02-03,resultsFirstSubmitDate,2022-04-12,2019-06-03,ACTUAL,2019-06-03,ACTUAL,2019-06-03,ACTUAL,2019-06-03,ACTUAL,9,9,0,118,nonfda_control
NCT03657342,26,26,27,25,NCT03657342:v26-v27,2025-09-19,resultsFirstSubmitDate,2025-09-19,2024-04-16,ACTUAL,2024-04-16,ACTUAL,2024-04-16,ACTUAL,2024-04-16,ACTUAL,28,27,1,119,fda_proxy
NCT05569174,38,38,38,37,NCT05569174:v38-v38,2025-11-14,resultsFirstSubmitDate,2025-12-01,2024-12-18,ACTUAL,2024-12-18,ACTUAL,2024-12-18,ACTUAL,2024-12-18,ACTUAL,40,40,0,119,nonfda_control
NCT03089580,5,5,5,4,NCT03089580:v5-v5,2019-08-22,resultsFirstSubmitDate,2019-09-18,2018-11-01,ACTUAL,2018-11-01,ACTUAL,2018-11-01,ACTUAL,2018-11-01,ACTUAL,6,6,0,120,fda_proxy
NCT02975804,4,4,4,3,NCT02975804:v4-v4,2019-01-31,resultsFirstSubmitDate,2019-08-05,2018-09-30,ACTUAL,2018-09-30,ACTUAL,2018-09-30,ACTUAL,2018-09-30,ACTUAL,5,5,0,120,nonfda_control
NCT03194555,16,16,17,15,NCT03194555:v16-v17,2024-01-30,resultsFirstSubmitDate,2024-01-30,2018-07-26,ACTUAL,2018-07-26,ACTUAL,2018-07-26,ACTUAL,2018-07-26,ACTUAL,18,17,1,121,fda_proxy
NCT03078582,6,6,6,5,NCT03078582:v6-v6,2019-06-19,resultsFirstSubmitDate,2020-02-25,2018-03-28,ACTUAL,2018-03-28,ACTUAL,2018-03-28,ACTUAL,2018-03-28,ACTUAL,8,8,0,121,nonfda_control
NCT03554629,7,7,9,6,NCT03554629:v7-v9,2020-08-28,resultsFirstSubmitDate,2020-08-28,2019-08-31,ACTUAL,2019-08-31,ACTUAL,2019-08-31,ACTUAL,2019-08-31,ACTUAL,11,9,2,122,fda_proxy
NCT03358251,9,9,9,8,NCT03358251:v9-v9,2020-06-14,resultsFirstSubmitDate,2020-08-17,2019-12-30,ACTUAL,2019-12-30,ACTUAL,2019-12,ESTIMATED,2019-12-30,ACTUAL,10,10,0,122,nonfda_control
NCT05451329,3,3,3,2,NCT05451329:v3-v3,2023-12-20,resultsFirstSubmitDate,2023-12-20,2022-12-22,ACTUAL,2022-12-22,ACTUAL,2022-12-22,ACTUAL,2022-12-22,ACTUAL,4,4,0,123,fda_proxy
NCT04571385,9,9,9,8,NCT04571385:v9-v9,2023-11-17,resultsFirstSubmitDate,2023-11-17,2022-12-13,ACTUAL,2022-12-13,ACTUAL,2022-12-13,ACTUAL,2022-12-13,ACTUAL,10,10,0,123,nonfda_control
NCT05409131,11,11,12,10,NCT05409131:v11-v12,2024-11-12,resultsFirstSubmitDate,2024-11-12,2023-09-14,ACTUAL,2023-09-14,ACTUAL,2023-09-14,ACTUAL,2023-09-14,ACTUAL,14,13,1,124,fda_proxy
NCT05819203,2,2,2,1,NCT05819203:v2-v2,2024-01-04,resultsFirstSubmitDate,2024-07-04,2023-05-16,ACTUAL,2023-05-16,ACTUAL,2023-05-16,ACTUAL,2023-05-16,ACTUAL,3,3,0,124,nonfda_control
NCT03510910,4,4,4,3,NCT03510910:v4-v4,2020-12-11,resultsFirstSubmitDate,2020-12-11,2019-12-01,ACTUAL,2019-12-01,ACTUAL,2019-12-01,ACTUAL,2019-12-01,ACTUAL,5,5,0,125,fda_proxy
NCT03124121,7,7,7,6,NCT03124121:v7-v7,2021-05-13,resultsFirstSubmitDate,2021-06-10,2019-09-30,ACTUAL,2019-09-30,ACTUAL,2019-09-30,ACTUAL,2019-09-30,ACTUAL,9,9,0,125,nonfda_control
NCT03936699,2,2,4,1,NCT03936699:v2-v4,2021-10-25,resultsFirstSubmitDate,2021-10-25,2019-05-30,ACTUAL,2019-05-30,ACTUAL,2019-05-30,ACTUAL,2019-05-30,ACTUAL,5,3,2,126,fda_proxy
NCT03430986,7,7,7,6,NCT03430986:v7-v7,2020-12-04,resultsFirstSubmitDate,2020-12-04,2019-12-04,ACTUAL,2019-12-04,ACTUAL,2019-12-04,ACTUAL,2019-12-04,ACTUAL,8,8,0,126,nonfda_control
NCT02437318,39,39,39,38,NCT02437318:v39-v39,2019-06-17,resultsFirstSubmitDate,2019-07-22,2018-06-12,ACTUAL,2018-06-12,ACTUAL,2018-06-12,ACTUAL,2018-06-12,ACTUAL,69,69,0,127,fda_proxy
NCT02892344,8,8,8,7,NCT02892344:v8-v8,2019-05-29,resultsFirstSubmitDate,2019-07-31,2018-11-05,ACTUAL,2018-11-05,ACTUAL,2018-11-22,ESTIMATED,2018-11-05,ACTUAL,11,11,0,127,nonfda_control
NCT05438277,4,4,4,3,NCT05438277:v4-v4,2023-02-07,resultsFirstSubmitDate,2023-02-07,2022-08-31,ACTUAL,2022-08-31,ACTUAL,2022-08-31,ACTUAL,2022-08-31,ACTUAL,5,5,0,128,fda_proxy
NCT02777580,12,12,12,11,NCT02777580:v12-v12,2024-01-23,resultsFirstSubmitDate,2024-07-09,2022-10-13,ACTUAL,2022-10-13,ACTUAL,2022-10-13,ACTUAL,2022-10-13,ACTUAL,13,13,0,128,nonfda_control
NCT04429555,13,13,14,12,NCT04429555:v13-v14,2024-10-08,resultsFirstSubmitDate,2024-10-08,2022-06-30,ACTUAL,2022-06-30,ACTUAL,2022-06-30,ACTUAL,2022-06-30,ACTUAL,15,14,1,129,fda_proxy
NCT03733314,29,29,29,28,NCT03733314:v29-v29,2025-03-03,resultsFirstSubmitDate,2025-04-01,2022-03-16,ACTUAL,2022-03-16,ACTUAL,2022-03-16,ACTUAL,2022-03-16,ACTUAL,30,30,0,129,nonfda_control
NCT03452488,11,11,12,10,NCT03452488:v11-v12,2024-01-16,resultsFirstSubmitDate,2024-01-16,2020-04-26,ACTUAL,2020-04-26,ACTUAL,2020-12-30,ACTUAL,2020-04-26,ACTUAL,13,12,1,130,fda_proxy
NCT04452435,6,6,6,5,NCT04452435:v6-v6,2021-03-24,resultsFirstSubmitDate,2021-04-28,2020-10-13,ACTUAL,2020-10-13,ACTUAL,2020-10-13,ACTUAL,2020-10-13,ACTUAL,8,8,0,130,nonfda_control
NCT04230213,22,22,23,21,NCT04230213:v22-v23,2022-06-17,resultsFirstSubmitDate,2022-06-17,2021-06-22,ACTUAL,2021-06-22,ACTUAL,2021-06-22,ACTUAL,2021-06-22,ACTUAL,25,24,1,131,fda_proxy
NCT05175131,1,1,1,0,NCT05175131:v1-v1,2022-04-26,resultsFirstSubmitDate,2023-03-21,2021-05-18,ACTUAL,2021-05-18,ACTUAL,2021-05-18,ACTUAL,2021-05-18,ACTUAL,3,3,0,131,nonfda_control
NCT03103542,18,18,20,17,NCT03103542:v18-v20,2021-08-03,resultsFirstSubmitDate,2021-08-03,2019-09-04,ACTUAL,2019-09-04,ACTUAL,2019-09-04,ACTUAL,2019-09-04,ACTUAL,23,21,2,132,fda_proxy
